[2025-07-27 11:07:38,603] 16 root - INFO -Initate the data ingestion
[2025-07-27 11:07:46,141] 67 root - INFO -Performed train test split
[2025-07-27 11:07:46,141] 68 root - INFO -Exited the train_test method
[2025-07-27 11:07:46,141] 73 root - INFO -Exporting train anf test file path
[2025-07-27 11:07:46,236] 77 root - INFO -Made dir for train & test set
[2025-07-27 11:07:46,241] 18 root - INFO -data initiating completed
[2025-07-27 11:07:46,246] 24 root - INFO -INITIATING DATA VALIDATION
[2025-07-27 11:07:46,329] 39 root - INFO -required number of culmns: 2
[2025-07-27 11:07:46,329] 40 root - INFO -Data Frame has columns :32
[2025-07-27 11:07:46,329] 39 root - INFO -required number of culmns: 2
[2025-07-27 11:07:46,330] 40 root - INFO -Data Frame has columns :32
[2025-07-27 11:07:46,542] 26 root - INFO -DATA VALIDATION COMPLETED
[2025-07-27 11:07:46,542] 32 root - INFO -INITIATING DATA TRANSFORMATION
[2025-07-27 11:07:46,542] 45 root - INFO -startung data transofmration
[2025-07-27 11:07:46,594] 33 root - INFO -Enteretd get data trasnformation obj
