[2025-07-26 23:55:38,495] 15 root - INFO -Initate the data ingestion
[2025-07-26 23:55:46,070] 67 root - INFO -Performed train test split
[2025-07-26 23:55:46,070] 68 root - INFO -Exited the train_test method
[2025-07-26 23:55:46,071] 73 root - INFO -Exporting train anf test file path
[2025-07-26 23:55:46,177] 77 root - INFO -Made dir for train & test set
[2025-07-26 23:55:46,183] 17 root - INFO -data initiating completed
[2025-07-26 23:55:46,191] 22 root - INFO -INITIATING DATA VALIDATION
[2025-07-26 23:55:46,283] 39 root - INFO -required number of culmns: 2
[2025-07-26 23:55:46,283] 40 root - INFO -Data Frame has columns :32
[2025-07-26 23:55:46,283] 39 root - INFO -required number of culmns: 2
[2025-07-26 23:55:46,285] 40 root - INFO -Data Frame has columns :32
[2025-07-26 23:55:46,565] 25 root - INFO -DATA VALIDATION COMPLETED
