[2025-07-27 12:49:57,106] 17 root - INFO -Initate the data ingestion
[2025-07-27 12:50:03,255] 67 root - INFO -Performed train test split
[2025-07-27 12:50:03,256] 68 root - INFO -Exited the train_test method
[2025-07-27 12:50:03,256] 73 root - INFO -Exporting train anf test file path
[2025-07-27 12:50:03,332] 77 root - INFO -Made dir for train & test set
[2025-07-27 12:50:03,332] 19 root - INFO -data initiating completed
[2025-07-27 12:50:03,338] 25 root - INFO -INITIATING DATA VALIDATION
[2025-07-27 12:50:03,460] 39 root - INFO -required number of culmns: 2
[2025-07-27 12:50:03,460] 40 root - INFO -Data Frame has columns :31
[2025-07-27 12:50:03,460] 39 root - INFO -required number of culmns: 2
[2025-07-27 12:50:03,462] 40 root - INFO -Data Frame has columns :31
[2025-07-27 12:50:03,629] 27 root - INFO -DATA VALIDATION COMPLETED
[2025-07-27 12:50:03,629] 33 root - INFO -INITIATING DATA TRANSFORMATION
[2025-07-27 12:50:03,629] 45 root - INFO -startung data transofmration
[2025-07-27 12:50:03,662] 33 root - INFO -Enteretd get data trasnformation obj
[2025-07-27 12:50:03,678] 47 root - INFO -Entered the save_object method of MainUtils class
[2025-07-27 12:50:03,681] 51 root - INFO -Exited the save_object method of MainUtils class
[2025-07-27 12:50:03,681] 47 root - INFO -Entered the save_object method of MainUtils class
[2025-07-27 12:50:03,683] 51 root - INFO -Exited the save_object method of MainUtils class
[2025-07-27 12:50:03,685] 35 root - INFO -DATA TRANSFORMATION COMPLETED
[2025-07-27 12:50:03,685] 38 root - INFO -Model Training started
