[2025-07-27 01:36:52,205] 16 root - INFO -Initate the data ingestion
[2025-07-27 01:37:01,262] 67 root - INFO -Performed train test split
[2025-07-27 01:37:01,262] 68 root - INFO -Exited the train_test method
[2025-07-27 01:37:01,262] 73 root - INFO -Exporting train anf test file path
[2025-07-27 01:37:01,357] 77 root - INFO -Made dir for train & test set
[2025-07-27 01:37:01,362] 18 root - INFO -data initiating completed
[2025-07-27 01:37:01,367] 24 root - INFO -INITIATING DATA VALIDATION
[2025-07-27 01:37:01,457] 39 root - INFO -required number of culmns: 2
[2025-07-27 01:37:01,457] 40 root - INFO -Data Frame has columns :32
[2025-07-27 01:37:01,457] 39 root - INFO -required number of culmns: 2
[2025-07-27 01:37:01,457] 40 root - INFO -Data Frame has columns :32
[2025-07-27 01:37:01,675] 26 root - INFO -DATA VALIDATION COMPLETED
