[2025-07-27 01:37:37,563] 16 root - INFO -Initate the data ingestion
[2025-07-27 01:37:45,241] 67 root - INFO -Performed train test split
[2025-07-27 01:37:45,241] 68 root - INFO -Exited the train_test method
[2025-07-27 01:37:45,242] 73 root - INFO -Exporting train anf test file path
[2025-07-27 01:37:45,337] 77 root - INFO -Made dir for train & test set
[2025-07-27 01:37:45,342] 18 root - INFO -data initiating completed
[2025-07-27 01:37:45,348] 24 root - INFO -INITIATING DATA VALIDATION
[2025-07-27 01:37:45,421] 39 root - INFO -required number of culmns: 2
[2025-07-27 01:37:45,421] 40 root - INFO -Data Frame has columns :32
[2025-07-27 01:37:45,422] 39 root - INFO -required number of culmns: 2
[2025-07-27 01:37:45,423] 40 root - INFO -Data Frame has columns :32
[2025-07-27 01:37:45,638] 26 root - INFO -DATA VALIDATION COMPLETED
[2025-07-27 01:37:45,638] 32 root - INFO -INITIATING DATA TRANSFORMATION
[2025-07-27 01:37:45,639] 34 root - INFO -DATA TRANSFORMATION COMPLETED
